brand,region,week_start,residual,if_prediction,if_score,anomaly_type,z_score
adidas,global,2023-03-26,-2.2027,-1,-0.008547140506337203,dip,-1.794669376043743
adidas,global,2024-01-14,-2.9737,-1,-0.13000709249570364,dip,-2.42284846939723
adidas,global,2024-03-24,3.7461,-1,-0.10014179322804162,spike,3.05216822517704
adidas,global,2024-07-14,4.0176,-1,-0.14257280460419774,spike,3.2733752599960693
adidas,global,2024-08-11,3.5442,-1,-0.10634918355759704,spike,2.8876684081237727
adidas,global,2024-08-18,2.7856,-1,-0.037904971427180856,spike,2.269592324832002
adidas,global,2024-11-03,-2.2019,-1,-0.008547140506337203,dip,-1.7940175689429874
adidas,global,2024-11-17,-3.6379,-1,-0.13334722633642082,dip,-2.9640113147998064
adidas,global,2025-02-23,-3.8442,-1,-0.15802029213753432,dip,-3.1320960709072305
adidas,korea,2024-08-11,4.5864,-1,-0.02823137502735562,spike,1.9915813804571174
adidas,korea,2024-08-18,7.6044,-1,-0.10363512095266048,spike,3.302106543159799
adidas,korea,2024-08-25,8.5144,-1,-0.17573413263180104,spike,3.697261578964783
adidas,korea,2024-09-15,7.2525,-1,-0.10054503006533,spike,3.149298788105103
adidas,korea,2024-09-29,6.3776,-1,-0.11665753546030422,spike,2.7693854465383114
adidas,korea,2025-02-09,-4.6832,-1,-0.013807993239432492,dip,-2.033615454595494
adidas,korea,2025-02-16,-7.3302,-1,-0.22320845372347264,dip,-3.1830389488546054
adidas,korea,2025-08-24,-4.6706,-1,-0.010346569002020911,dip,-2.0281440771766555
adidas,korea,2026-02-15,4.4525,-1,-0.010087697476231394,spike,1.933437139474384
new_balance,global,2024-03-03,2.5097,-1,-0.05287150915869199,spike,2.685097531849928
new_balance,global,2024-03-24,2.4876,-1,-0.056788175850055356,spike,2.6614530104115555
new_balance,global,2024-04-07,1.8831,-1,-0.020213245058810947,spike,2.014705806361955
new_balance,global,2024-04-21,2.59,-1,-0.10720298244359594,spike,2.7710095260355074
new_balance,global,2024-04-28,2.3133,-1,-0.07443277650196245,spike,2.474971558524301
new_balance,global,2024-07-28,-2.1386,-1,-0.08291888353427279,dip,-2.2880621514978903
new_balance,global,2024-08-04,-2.188,-1,-0.10942752359827201,dip,-2.3409146111836643
new_balance,global,2024-09-22,-1.6625,-1,-0.026034422617798314,dip,-1.7786885471173868
new_balance,global,2024-11-17,-1.9177,-1,-0.08353751350242633,dip,-2.051723925898955
new_balance,korea,2024-03-24,-2.5884,-1,-0.04347305624087139,dip,-1.9103272043038502
new_balance,korea,2024-08-18,2.6437,-1,-0.004648086752534808,spike,1.9511404844761584
new_balance,korea,2024-08-25,2.7767,-1,-0.015352372858946639,spike,2.049299006409558
new_balance,korea,2024-09-15,2.9078,-1,-0.049781158294537,spike,2.1460552637439094
new_balance,korea,2024-12-01,-3.1073,-1,-0.09123046170429516,dip,-2.2932930466440093
new_balance,korea,2024-12-15,-3.3008,-1,-0.1030658695131792,dip,-2.4361026255471137
new_balance,korea,2025-03-23,4.0653,-1,-0.1603680770296665,spike,3.0003296181642876
new_balance,korea,2025-04-20,5.7486,-1,-0.22643972578106897,spike,4.242662249521369
new_balance,korea,2026-04-19,-3.2562,-1,-0.08021796781302415,dip,-2.403186309169447
nike,global,2024-04-07,8.4023,-1,-0.09745523468015982,spike,2.5762574423526248
nike,global,2024-04-21,8.1754,-1,-0.03507841300836023,spike,2.5066868707627252
nike,global,2024-04-28,7.4767,-1,-0.028198870578117097,spike,2.2924561154966936
nike,global,2024-05-05,7.0223,-1,-0.0032550310538723704,spike,2.1531310043003504
nike,global,2024-06-23,5.7915,-1,-0.0060058236984861235,spike,1.7757512796954673
nike,global,2024-07-28,-7.4164,-1,-0.1687825446693456,dip,-2.2739673298339746
nike,global,2024-08-25,-6.1352,-1,-0.05972733694481591,dip,-1.881134291839356
nike,global,2024-09-22,-5.2215,-1,-0.024876080537833967,dip,-1.6009816639782235
nike,global,2024-11-17,-6.3164,-1,-0.07673431096743843,dip,-1.936692632835785
nike,korea,2023-01-29,10.8373,-1,-0.03608990472743934,spike,2.401343081761626
nike,korea,2024-01-28,-16.8097,-1,-0.1836519127544779,dip,-3.724715270546022
nike,korea,2024-02-11,9.7976,-1,-0.0033126298596428683,spike,2.170964998465273
nike,korea,2024-08-18,12.9392,-1,-0.1490875811836444,spike,2.8670848277273886
nike,korea,2024-09-15,9.8163,-1,-0.002855948657075058,spike,2.1751085688775476
nike,korea,2024-11-10,-10.5358,-1,-0.05751716952423569,dip,-2.334536318162655
nike,korea,2025-02-16,-13.5362,-1,-0.12305247517631623,dip,-2.9993688670925156
nike,korea,2025-04-06,-9.3463,-1,-0.02324418916268889,dip,-2.070965355307012
nike,korea,2025-04-20,10.6948,-1,-0.035609247653440534,spike,2.3697677457322617
puma,global,2023-04-23,-0.8507,-1,-0.00688601792614596,dip,-1.7695053531403901
puma,global,2024-04-14,1.5129,-1,-0.17142554094872997,spike,3.1469197705020524
puma,global,2024-04-21,1.2221,-1,-0.06852392691710163,spike,2.542038899815294
puma,global,2024-05-12,1.1232,-1,-0.031724429501728824,spike,2.3363211621573834
puma,global,2024-05-19,1.3765,-1,-0.11552837355774648,spike,2.863199857291345
puma,global,2024-06-23,1.0281,-1,-0.005006739383591197,spike,2.1385076449554896
puma,global,2024-09-15,-0.9704,-1,-0.16144411881153942,dip,-2.018488297504919
puma,global,2025-03-16,1.0749,-1,-0.01297966534967987,spike,2.2358543600453804
puma,global,2026-03-15,-0.8479,-1,-0.001655628553150601,dip,-1.7636811906991146
puma,korea,2024-03-17,2.4904,-1,-0.13255456148653244,spike,2.9747118211671193
puma,korea,2024-09-01,2.3192,-1,-0.12447370521989498,spike,2.770218300534365
puma,korea,2024-09-15,2.431,-1,-0.10283327579517054,spike,2.903760214125147
puma,korea,2024-09-22,1.4796,-1,-0.013429476166146537,spike,1.7673400299545734
puma,korea,2024-10-06,1.6589,-1,-0.07293776734653601,spike,1.9815087697294145
puma,korea,2024-12-01,-2.0653,-1,-0.07771615624153072,dip,-2.466941986932401
puma,korea,2024-12-15,-2.331,-1,-0.14843130915173208,dip,-2.7843130642228373
puma,korea,2024-12-22,-2.1505,-1,-0.08046811304136192,dip,-2.5687109586491688
puma,korea,2025-02-16,-1.7388,-1,-0.006204360135851461,dip,-2.07694704250136
