tier,brand,region,week_start,n_methods,methods,mstl_z,if_score,likely_type,matched,primary_event_id,n_matches,is_macro_match
1,new_balance,korea,2025-03-23,3,Z+M+IF,3.0,-0.1604,nb_specific,True,23.0,1,False
1,puma,korea,2024-03-17,3,Z+M+IF,2.97,-0.1326,brand_specific,True,4.0,1,False
1,puma,korea,2024-09-01,3,Z+M+IF,2.77,-0.1245,brand_specific,False,,0,False
1,nike,korea,2024-02-11,3,Z+M+IF,2.17,-0.0033,brand_specific,False,,0,False
1,new_balance,global,2024-11-24,2,Z+M,2.15,,nb_specific,True,19.0,1,False
1,new_balance,korea,2024-09-15,3,Z+M+IF,2.15,-0.0498,macro_event,True,15.0,2,False
1,nike,global,2024-11-17,2,Z+IF,,-0.0767,macro_event,True,17.0,1,False
2,new_balance,korea,2025-04-20,2,M+IF,4.24,-0.2264,multi_brand,False,,0,False
2,adidas,korea,2024-08-25,2,M+IF,3.7,-0.1757,multi_brand,True,13.0,1,False
2,adidas,korea,2024-08-18,2,M+IF,3.3,-0.1036,multi_brand,False,,0,False
2,adidas,korea,2025-02-16,2,M+IF,-3.18,-0.2232,macro_event,True,21.0,1,True
2,adidas,korea,2024-09-15,2,M+IF,3.15,-0.1005,macro_event,False,,0,False
2,adidas,global,2024-03-24,2,M+IF,3.05,-0.1001,multi_brand,False,,0,False
2,nike,korea,2025-02-16,2,M+IF,-3.0,-0.1231,macro_event,True,21.0,1,True
2,adidas,global,2024-11-17,2,M+IF,-2.96,-0.1333,macro_event,False,,0,False
2,puma,korea,2024-09-15,2,M+IF,2.9,-0.1028,macro_event,False,,0,False
2,nike,korea,2024-08-18,2,M+IF,2.87,-0.1491,multi_brand,False,,0,False
2,puma,korea,2024-12-15,2,M+IF,-2.78,-0.1484,multi_brand,False,,0,False
2,new_balance,global,2024-04-21,2,M+IF,2.77,-0.1072,macro_event,True,9.0,1,False
2,new_balance,global,2024-03-24,2,M+IF,2.66,-0.0568,multi_brand,False,,0,False
2,nike,global,2024-04-07,2,M+IF,2.58,-0.0975,multi_brand,True,8.0,1,True
2,puma,global,2024-04-21,2,M+IF,2.54,-0.0685,macro_event,False,,0,False
2,nike,global,2024-04-21,2,M+IF,2.51,-0.0351,macro_event,False,,0,False
2,new_balance,global,2024-04-28,2,M+IF,2.47,-0.0744,multi_brand,False,,0,False
2,puma,korea,2024-12-01,2,M+IF,-2.47,-0.0777,multi_brand,True,20.0,1,True
2,new_balance,korea,2024-12-15,2,M+IF,-2.44,-0.1031,multi_brand,False,,0,False
2,nike,korea,2025-04-20,2,M+IF,2.37,-0.0356,multi_brand,False,,0,False
2,new_balance,korea,2024-12-01,2,M+IF,-2.29,-0.0912,multi_brand,True,20.0,1,True
2,nike,global,2024-04-28,2,M+IF,2.29,-0.0282,multi_brand,False,,0,False
2,new_balance,global,2024-07-28,2,M+IF,-2.29,-0.0829,multi_brand,True,10.0,1,True
2,nike,global,2024-07-28,2,M+IF,-2.27,-0.1688,multi_brand,True,10.0,1,True
2,adidas,global,2024-08-18,2,M+IF,2.27,-0.0379,multi_brand,False,,0,False
2,nike,korea,2024-09-15,2,M+IF,2.18,-0.0029,macro_event,False,,0,False
2,puma,korea,2025-02-16,2,M+IF,-2.08,-0.0062,macro_event,True,21.0,1,True
2,new_balance,global,2024-11-17,2,M+IF,-2.05,-0.0835,macro_event,True,18.0,1,False
2,new_balance,korea,2024-08-25,2,M+IF,2.05,-0.0154,multi_brand,False,,0,False
2,puma,global,2024-09-15,2,M+IF,-2.02,-0.1614,macro_event,False,,0,False
2,new_balance,global,2024-04-07,2,M+IF,2.01,-0.0202,multi_brand,True,8.0,1,True
