brand,region,week_start,residual,z_score,threshold,anomaly_type
adidas,global,2024-01-14,-2.9737,-2.42284846939723,2.0,dip
adidas,global,2024-03-24,3.7461,3.05216822517704,2.0,spike
adidas,global,2024-06-16,2.6123,2.1283946116307577,2.0,spike
adidas,global,2024-07-14,4.0176,3.2733752599960693,2.0,spike
adidas,global,2024-08-11,3.5442,2.8876684081237727,2.0,spike
adidas,global,2024-08-18,2.7856,2.269592324832002,2.0,spike
adidas,global,2024-08-25,2.5271,2.0589771554002554,2.0,spike
adidas,global,2024-11-17,-3.6379,-2.9640113147998064,2.0,dip
adidas,global,2025-02-23,-3.8442,-3.1320960709072305,2.0,dip
adidas,korea,2024-08-18,7.6044,3.302106543159799,2.0,spike
adidas,korea,2024-08-25,8.5144,3.697261578964783,2.0,spike
adidas,korea,2024-09-15,7.2525,3.149298788105103,2.0,spike
adidas,korea,2024-09-29,6.3776,2.7693854465383114,2.0,spike
adidas,korea,2025-02-09,-4.6832,-2.033615454595494,2.0,dip
adidas,korea,2025-02-16,-7.3302,-3.1830389488546054,2.0,dip
adidas,korea,2025-08-24,-4.6706,-2.0281440771766555,2.0,dip
new_balance,global,2024-03-03,2.5097,2.685097531849928,2.0,spike
new_balance,global,2024-03-24,2.4876,2.6614530104115555,2.0,spike
new_balance,global,2024-03-31,2.063,2.2071786301973946,2.0,spike
new_balance,global,2024-04-07,1.8831,2.014705806361955,2.0,spike
new_balance,global,2024-04-14,2.0458,2.1887765592136836,2.0,spike
new_balance,global,2024-04-21,2.59,2.7710095260355074,2.0,spike
new_balance,global,2024-04-28,2.3133,2.474971558524301,2.0,spike
new_balance,global,2024-07-28,-2.1386,-2.2880621514978903,2.0,dip
new_balance,global,2024-08-04,-2.188,-2.3409146111836643,2.0,dip
new_balance,global,2024-11-17,-1.9177,-2.051723925898955,2.0,dip
new_balance,global,2024-11-24,2.0129,2.153577249018098,2.0,spike
new_balance,korea,2024-08-25,2.7767,2.049299006409558,2.0,spike
new_balance,korea,2024-09-15,2.9078,2.1460552637439094,2.0,spike
new_balance,korea,2024-12-01,-3.1073,-2.2932930466440093,2.0,dip
new_balance,korea,2024-12-15,-3.3008,-2.4361026255471137,2.0,dip
new_balance,korea,2025-03-23,4.0653,3.0003296181642876,2.0,spike
new_balance,korea,2025-04-20,5.7486,4.242662249521369,2.0,spike
new_balance,korea,2026-04-19,-3.2562,-2.403186309169447,2.0,dip
nike,global,2024-03-31,7.2904,2.2353340463596365,2.0,spike
nike,global,2024-04-07,8.4023,2.5762574423526248,2.0,spike
nike,global,2024-04-14,7.9897,2.4497487696422127,2.0,spike
nike,global,2024-04-21,8.1754,2.5066868707627252,2.0,spike
nike,global,2024-04-28,7.4767,2.2924561154966936,2.0,spike
nike,global,2024-05-05,7.0223,2.1531310043003504,2.0,spike
nike,global,2024-05-12,7.1101,2.180051657388024,2.0,spike
nike,global,2024-05-19,8.0289,2.4617680133897846,2.0,spike
nike,global,2024-05-26,8.0637,2.4724381583493638,2.0,spike
nike,global,2024-06-09,7.1029,2.1778440411894904,2.0,spike
nike,global,2024-07-28,-7.4164,-2.2739673298339746,2.0,dip
nike,korea,2023-01-29,10.8373,2.401343081761626,2.0,spike
nike,korea,2024-01-28,-16.8097,-3.724715270546022,2.0,dip
nike,korea,2024-02-11,9.7976,2.170964998465273,2.0,spike
nike,korea,2024-08-18,12.9392,2.8670848277273886,2.0,spike
nike,korea,2024-09-15,9.8163,2.1751085688775476,2.0,spike
nike,korea,2024-11-10,-10.5358,-2.334536318162655,2.0,dip
nike,korea,2025-02-16,-13.5362,-2.9993688670925156,2.0,dip
nike,korea,2025-04-06,-9.3463,-2.070965355307012,2.0,dip
nike,korea,2025-04-20,10.6948,2.3697677457322617,2.0,spike
puma,global,2024-04-07,0.9801,2.038664860247909,2.0,spike
puma,global,2024-04-14,1.5129,3.1469197705020524,2.0,spike
puma,global,2024-04-21,1.2221,2.542038899815294,2.0,spike
puma,global,2024-05-12,1.1232,2.3363211621573834,2.0,spike
puma,global,2024-05-19,1.3765,2.863199857291345,2.0,spike
puma,global,2024-06-23,1.0281,2.1385076449554896,2.0,spike
puma,global,2024-09-15,-0.9704,-2.018488297504919,2.0,dip
puma,global,2025-03-16,1.0749,2.2358543600453804,2.0,spike
puma,korea,2024-03-17,2.4904,2.9747118211671193,2.0,spike
puma,korea,2024-09-01,2.3192,2.770218300534365,2.0,spike
puma,korea,2024-09-15,2.431,2.903760214125147,2.0,spike
puma,korea,2024-12-01,-2.0653,-2.466941986932401,2.0,dip
puma,korea,2024-12-15,-2.331,-2.7843130642228373,2.0,dip
puma,korea,2024-12-22,-2.1505,-2.5687109586491688,2.0,dip
puma,korea,2025-02-16,-1.7388,-2.07694704250136,2.0,dip
puma,korea,2025-03-16,-1.7252,-2.060702230114646,2.0,dip
