id,brand,product_line,metric_name,detected_date,anomaly_type,detection_method,severity_score,z_score,matched_event_id,description
196,nike,,search_index,2023-01-29,spike,isolation_forest,0.4803,2.4013,,IF contamination=0.05 (korea) score=-0.0361
115,nike,,search_index,2023-01-29,spike,mstl_residual_2.0,0.4803,2.4013,,MSTL residual |z|>2.0 (korea)
61,new_balance,,search_index,2023-02-12,spike,rolling_zscore_8w,2.2328,2.2328,,korea: search_index spike (z=2.23)
1,nike,,search_index,2023-03-05,dip,rolling_zscore_8w,2.2111,-2.2111,,global: search_index dip (z=-2.21)
2,nike,,search_index,2023-03-12,dip,rolling_zscore_8w,2.0134,-2.0134,,global: search_index dip (z=-2.01)
151,adidas,,search_index,2023-03-26,dip,isolation_forest,0.3589,-1.7947,,IF contamination=0.05 (global) score=-0.0085
46,puma,,search_index,2023-04-02,spike,rolling_zscore_8w,2.1602,2.1602,,korea: search_index spike (z=2.16)
32,adidas,,search_index,2023-04-09,dip,rolling_zscore_8w,2.2819,-2.2819,,korea: search_index dip (z=-2.28)
205,puma,,search_index,2023-04-23,dip,isolation_forest,0.3539,-1.7695,,IF contamination=0.05 (global) score=-0.0069
62,new_balance,,search_index,2023-05-21,dip,rolling_zscore_8w,2.112,-2.112,,korea: search_index dip (z=-2.11)
41,puma,,search_index,2023-05-28,spike,rolling_zscore_8w,2.4749,2.4749,,global: search_index spike (z=2.47)
55,new_balance,,search_index,2023-06-04,dip,rolling_zscore_8w,2.4749,-2.4749,,global: search_index dip (z=-2.47)
3,nike,,search_index,2023-07-02,spike,rolling_zscore_8w,2.4518,2.4518,,global: search_index spike (z=2.45)
42,puma,,search_index,2023-07-02,spike,rolling_zscore_8w,2.3972,2.3972,,global: search_index spike (z=2.40)
56,new_balance,,search_index,2023-07-02,spike,rolling_zscore_8w,2.4206,2.4206,,global: search_index spike (z=2.42)
12,nike,,search_index,2023-08-13,dip,rolling_zscore_8w,2.0822,-2.0822,,korea: search_index dip (z=-2.08)
43,puma,,search_index,2023-10-01,spike,rolling_zscore_8w,2.4749,2.4749,,global: search_index spike (z=2.47)
13,nike,,search_index,2023-10-15,spike,rolling_zscore_8w,2.1737,2.1737,,korea: search_index spike (z=2.17)
4,nike,,search_index,2023-11-19,spike,rolling_zscore_8w,2.3402,2.3402,,global: search_index spike (z=2.34)
24,adidas,,search_index,2023-11-19,spike,rolling_zscore_8w,2.1889,2.1889,,global: search_index spike (z=2.19)
44,puma,,search_index,2023-11-19,spike,rolling_zscore_8w,2.1199,2.1199,,global: search_index spike (z=2.12)
57,new_balance,,search_index,2023-11-19,spike,rolling_zscore_8w,2.2979,2.2979,,global: search_index spike (z=2.30)
