year_month,csi_value
2022-01,104.9
2022-02,103.4
2022-03,103.6
2022-04,104.3
2022-05,103.1
2022-06,96.6
2022-07,85.7
2022-08,88.5
2022-09,91.3
2022-10,88.6
2022-11,86.2
2022-12,89.7
2023-01,90.4
2023-02,89.8
2023-03,91.7
2023-04,94.9
2023-05,97.9
2023-06,100.7
2023-07,103.4
2023-08,103.2
2023-09,99.7
2023-10,98.0
2023-11,97.1
2023-12,99.5
2024-01,101.5
2024-02,101.7
2024-03,100.5
2024-04,100.6
2024-05,98.2
2024-06,100.7
2024-07,103.6
2024-08,100.6
2024-09,99.8
2024-10,101.6
2024-11,100.6
2024-12,87.9
2025-01,91.0
2025-02,95.0
2025-03,93.2
2025-04,93.6
2025-05,101.7
2025-06,108.6
2025-07,110.7
2025-08,111.2
2025-09,110.0
2025-10,109.6
2025-11,112.3
2025-12,109.8
2026-01,110.8
2026-02,112.1
2026-03,107.0
2026-04,99.2
