id,brand,metric_name,week_start,korea_value,global_value,divergence_pct,lead_lag_weeks,updated_at
1,nike,search_index,2022-12-25,73.0,49.0,48.9796,,2026-04-30 02:44:20.510712+00:00
697,nike,sov_pct,2022-12-25,56.1538,49.0,14.5996,,2026-04-30 02:44:20.510712+00:00
175,adidas,search_index,2022-12-25,32.0,37.0,-13.5135,,2026-04-30 02:44:20.510712+00:00
871,adidas,sov_pct,2022-12-25,24.6154,37.0,-33.4719,,2026-04-30 02:44:20.510712+00:00
349,puma,search_index,2022-12-25,9.0,8.0,12.5,,2026-04-30 02:44:20.510712+00:00
1045,puma,sov_pct,2022-12-25,6.9231,8.0,-13.4613,,2026-04-30 02:44:20.510712+00:00
1567,new_balance,product_2002r_share,2022-12-25,0.0,29.7255,-100.0,,2026-04-30 02:44:20.510712+00:00
1393,new_balance,product_574_share,2022-12-25,42.3098,35.1373,20.4128,,2026-04-30 02:44:20.510712+00:00
523,new_balance,search_index,2022-12-25,16.0,6.0,166.6667,,2026-04-30 02:44:20.510712+00:00
1219,new_balance,sov_pct,2022-12-25,12.3077,6.0,105.1283,,2026-04-30 02:44:20.510712+00:00
2,nike,search_index,2023-01-01,75.0,45.0,66.6667,,2026-04-30 02:44:20.510712+00:00
698,nike,sov_pct,2023-01-01,59.5238,50.0,19.0476,,2026-04-30 02:44:20.510712+00:00
176,adidas,search_index,2023-01-01,28.0,32.0,-12.5,,2026-04-30 02:44:20.510712+00:00
872,adidas,sov_pct,2023-01-01,22.2222,35.5556,-37.5001,,2026-04-30 02:44:20.510712+00:00
350,puma,search_index,2023-01-01,8.0,7.0,14.2857,,2026-04-30 02:44:20.510712+00:00
1046,puma,sov_pct,2023-01-01,6.3492,7.7778,-18.3677,,2026-04-30 02:44:20.510712+00:00
1568,new_balance,product_2002r_share,2023-01-01,0.0,28.0309,-100.0,,2026-04-30 02:44:20.510712+00:00
1394,new_balance,product_574_share,2023-01-01,51.2184,38.3238,33.6465,,2026-04-30 02:44:20.510712+00:00
524,new_balance,search_index,2023-01-01,15.0,6.0,150.0,,2026-04-30 02:44:20.510712+00:00
1220,new_balance,sov_pct,2023-01-01,11.9048,6.6667,78.5711,,2026-04-30 02:44:20.510712+00:00
3,nike,search_index,2023-01-08,75.0,43.0,74.4186,,2026-04-30 02:44:20.510712+00:00
699,nike,sov_pct,2023-01-08,58.1395,48.8636,18.9833,,2026-04-30 02:44:20.510712+00:00
177,adidas,search_index,2023-01-08,29.0,32.0,-9.375,,2026-04-30 02:44:20.510712+00:00
873,adidas,sov_pct,2023-01-08,22.4806,36.3636,-38.1783,,2026-04-30 02:44:20.510712+00:00
351,puma,search_index,2023-01-08,9.0,7.0,28.5714,,2026-04-30 02:44:20.510712+00:00
1047,puma,sov_pct,2023-01-08,6.9767,7.9545,-12.2924,,2026-04-30 02:44:20.510712+00:00
1569,new_balance,product_2002r_share,2023-01-08,0.0,30.997,-100.0,,2026-04-30 02:44:20.510712+00:00
