week_start,product_line,region,search_index,search_wow_pct,share_within_nb_pct,season_label
2022-12-25,1906r,global,2.3,,4.5098,FW22
2022-12-25,2002r,global,15.16,,29.7255,FW22
2022-12-25,2002r,korea,0.0,,0.0,FW22
2022-12-25,327,korea,22.38,,24.9972,FW22
2022-12-25,530,korea,0.0,,0.0,FW22
2022-12-25,574,global,17.92,,35.1373,FW22
2022-12-25,574,korea,37.88,,42.3098,FW22
2022-12-25,9060,global,6.89,,13.5098,FW22
2022-12-25,990,global,8.73,,17.1176,FW22
2022-12-25,992,korea,29.27,,32.693,FW22
2023-01-01,1906r,global,2.76,20.0,5.6143,FW23
2023-01-01,2002r,global,13.78,-9.1029,28.0309,FW23
2023-01-01,2002r,korea,0.0,,0.0,FW23
2023-01-01,327,korea,0.0,-100.0,0.0,FW23
2023-01-01,530,korea,27.55,,26.02,FW23
2023-01-01,574,global,18.84,5.1339,38.3238,FW23
2023-01-01,574,korea,54.23,43.1626,51.2184,FW23
2023-01-01,9060,global,5.97,-13.3527,12.144,FW23
2023-01-01,990,global,7.81,-10.5384,15.8869,FW23
2023-01-01,992,korea,24.1,-17.6631,22.7616,FW23
2023-01-08,1906r,global,2.3,-16.6667,5.0065,FW22
2023-01-08,2002r,global,14.24,3.3382,30.997,FW22
2023-01-08,2002r,korea,0.0,,0.0,FW22
2023-01-08,327,korea,0.0,,0.0,FW22
2023-01-08,530,korea,40.46,46.8603,34.0572,FW22
2023-01-08,574,global,15.62,-17.0913,34.0009,FW22
2023-01-08,574,korea,43.04,-20.6343,36.229,FW22
2023-01-08,9060,global,6.43,7.7052,13.9965,FW22
2023-01-08,990,global,7.35,-5.8899,15.9991,FW22
2023-01-08,992,korea,35.3,46.473,29.7138,FW22
2023-01-15,1906r,global,2.76,20.0,5.7765,FW22
2023-01-15,2002r,global,15.16,6.4607,31.7288,FW22
2023-01-15,2002r,korea,0.0,,0.0,FW22
2023-01-15,327,korea,24.97,,15.7629,FW22
2023-01-15,530,korea,25.83,-36.1592,16.3058,FW22
2023-01-15,574,global,15.16,-2.9449,31.7288,FW22
2023-01-15,574,korea,66.29,54.0195,41.8471,FW22
2023-01-15,9060,global,7.35,14.3079,15.383,FW22
2023-01-15,990,global,7.35,0.0,15.383,FW22
2023-01-15,992,korea,41.32,17.0538,26.0842,FW22
2023-01-22,1906r,global,2.76,0.0,5.9483,FW22
2023-01-22,2002r,global,13.78,-9.1029,29.6983,FW22
2023-01-22,2002r,korea,0.0,,0.0,FW22
2023-01-22,327,korea,0.0,-100.0,0.0,FW22
2023-01-22,530,korea,45.63,76.6551,27.1801,FW22
2023-01-22,574,global,15.16,0.0,32.6724,FW22
2023-01-22,574,korea,86.09,29.8688,51.2807,FW22
2023-01-22,9060,global,7.35,0.0,15.8405,FW22
2023-01-22,990,global,7.35,0.0,15.8405,FW22
2023-01-22,992,korea,36.16,-12.4879,21.5392,FW22
2023-01-29,1906r,global,2.3,-16.6667,4.6796,FW22
2023-01-29,2002r,global,12.86,-6.6763,26.1648,FW22
2023-01-29,2002r,korea,0.0,,0.0,FW22
2023-01-29,327,korea,31.85,,17.8732,FW22
2023-01-29,530,korea,44.77,-1.8847,25.1235,FW22
2023-01-29,574,global,15.16,0.0,30.8444,FW22
2023-01-29,574,korea,60.26,-30.0035,33.8159,FW22
2023-01-29,9060,global,11.48,56.1905,23.3571,FW22
2023-01-29,990,global,7.35,0.0,14.9542,FW22
2023-01-29,992,korea,41.32,14.2699,23.1874,FW22
2023-02-05,1906r,global,1.84,-20.0,3.8892,FW22
2023-02-05,2002r,global,11.48,-10.7309,24.2655,FW22
2023-02-05,2002r,korea,0.0,,0.0,FW22
2023-02-05,327,korea,28.41,-10.8006,21.1541,FW22
2023-02-05,530,korea,38.74,-13.4688,28.8459,FW22
2023-02-05,574,global,15.16,0.0,32.044,FW22
2023-02-05,574,korea,41.32,-31.4305,30.7669,FW22
2023-02-05,9060,global,11.94,4.007,25.2378,FW22
2023-02-05,990,global,6.89,-6.2585,14.5635,FW22
