model,region,subset,rmse,mae,mape_pct,n_weeks
SARIMAX,korea,all,6.45,5.89,22.8,26
SARIMAX,korea,normal,6.54,5.98,23.1,25
SARIMAX,korea,anomaly,3.61,3.61,15.9,1
LSTM,korea,all,8.11,7.54,29.4,26
LSTM,korea,normal,8.24,7.7,30.0,25
LSTM,korea,anomaly,3.34,3.34,14.8,1
Chronos-small,korea,all,7.2,6.45,25.0,26
Chronos-small,korea,normal,7.33,6.64,25.7,25
Chronos-small,korea,anomaly,1.85,1.85,8.2,1
Chronos-base,korea,all,7.8,7.09,27.4,26
Chronos-base,korea,normal,7.91,7.21,27.8,25
Chronos-base,korea,anomaly,3.97,3.97,17.5,1
SARIMAX,global,all,3.23,2.65,12.2,26
SARIMAX,global,normal,3.16,2.57,11.8,25
SARIMAX,global,anomaly,4.69,4.69,23.0,1
LSTM,global,all,2.71,2.19,10.7,26
LSTM,global,normal,2.76,2.24,11.0,25
LSTM,global,anomaly,0.94,0.94,4.6,1
Chronos-small,global,all,3.65,2.94,13.4,26
Chronos-small,global,normal,3.66,2.92,13.3,25
Chronos-small,global,anomaly,3.52,3.52,17.2,1
Chronos-base,global,all,3.99,3.15,14.1,26
Chronos-base,global,normal,4.0,3.14,14.0,25
Chronos-base,global,anomaly,3.52,3.52,17.2,1
