region,week_start,search_index,csi,trend,residual,is_anomaly_week,split
global,2022-12-25,6.0,89.7,3.8943,0.2086,0,train
global,2023-01-01,6.0,90.4,4.15,0.3689,0,train
global,2023-01-08,6.0,90.4,4.4055,0.5225,0,train
global,2023-01-15,5.0,90.4,4.6608,0.3865,0,train
global,2023-01-22,5.0,90.4,4.9159,0.5628,0,train
global,2023-01-29,5.0,90.4,5.1707,-0.176,0,train
global,2023-02-05,5.0,89.8,5.4252,-0.7515,0,train
global,2023-02-12,5.0,89.8,5.6794,-0.1405,0,train
global,2023-02-19,6.0,89.8,5.9332,-0.3197,0,train
global,2023-02-26,6.0,89.8,6.1868,0.2521,0,train
global,2023-03-05,5.0,91.7,6.4399,-0.7072,0,train
global,2023-03-12,5.0,91.7,6.6927,-0.1416,0,train
global,2023-03-19,5.0,91.7,6.945,-0.5842,0,train
global,2023-03-26,5.0,91.7,7.1969,-1.1675,0,train
global,2023-04-02,6.0,94.9,7.4483,-0.9887,0,train
global,2023-04-09,6.0,94.9,7.6993,-0.8198,0,train
global,2023-04-16,5.0,94.9,7.9498,-1.2748,0,train
global,2023-04-23,5.0,94.9,8.1998,-1.525,0,train
global,2023-04-30,5.0,94.9,8.4492,-0.7304,0,train
global,2023-05-07,5.0,97.9,8.6982,-0.377,0,train
global,2023-05-14,5.0,97.9,8.9466,-0.041,0,train
global,2023-05-21,5.0,97.9,9.1946,-0.2103,0,train
global,2023-05-28,5.0,97.9,9.4421,-0.2737,0,train
global,2023-06-04,4.0,100.7,9.6891,-0.1653,0,train
global,2023-06-11,4.0,100.7,9.9356,-0.2259,0,train
global,2023-06-18,4.0,100.7,10.1817,-0.2285,0,train
global,2023-06-25,4.0,100.7,10.4273,0.1278,0,train
global,2023-07-02,11.0,103.4,10.6726,0.42,0,train
global,2023-07-09,14.0,103.4,10.9176,0.5454,0,train
global,2023-07-16,14.0,103.4,11.1622,0.9515,0,train
global,2023-07-23,15.0,103.4,11.4067,1.1089,0,train
global,2023-07-30,16.0,103.4,11.6509,1.44,0,train
global,2023-08-06,17.0,103.2,11.895,1.4617,0,train
global,2023-08-13,16.0,103.2,12.1392,0.5761,0,train
global,2023-08-20,16.0,103.2,12.3834,0.6501,0,train
global,2023-08-27,17.0,103.2,12.6277,1.1588,0,train
global,2023-09-03,16.0,99.7,12.8725,0.8743,0,train
global,2023-09-10,15.0,99.7,13.1176,0.7144,0,train
global,2023-09-17,16.0,99.7,13.3634,0.7032,0,train
global,2023-09-24,16.0,99.7,13.6099,1.182,0,train
global,2023-10-01,17.0,98.0,13.8573,1.1386,0,train
global,2023-10-08,16.0,98.0,14.1055,0.9442,0,train
global,2023-10-15,15.0,98.0,14.3541,0.7473,0,train
global,2023-10-22,15.0,98.0,14.6027,0.8738,0,train
global,2023-10-29,14.0,98.0,14.8188,0.5083,0,train
global,2023-11-05,16.0,97.1,15.0291,0.9619,0,train
global,2023-11-12,17.0,97.1,15.2334,0.5597,0,train
global,2023-11-19,23.0,97.1,15.431,1.2884,0,train
global,2023-11-26,18.0,97.1,15.6217,-0.6616,0,train
global,2023-12-03,17.0,99.5,15.8051,0.0557,0,train
global,2023-12-10,17.0,99.5,15.9809,0.1421,0,train
global,2023-12-17,16.0,99.5,16.1489,0.5649,0,train
global,2023-12-24,19.0,99.5,16.3091,0.3292,0,train
global,2023-12-31,17.0,99.5,16.4612,-0.0247,0,train
global,2024-01-07,15.93,101.5,16.6053,-0.5277,0,train
global,2024-01-14,15.93,101.5,16.7416,-0.0386,0,train
global,2024-01-21,14.99,101.5,16.8701,-0.2742,0,train
global,2024-01-28,16.86,101.5,16.9911,0.6616,0,train
global,2024-02-04,17.8,101.7,17.1049,1.4998,0,train
global,2024-02-11,16.86,101.7,17.2119,1.1609,0,train
global,2024-02-18,17.8,101.7,17.3125,1.3727,0,train
global,2024-02-25,17.8,101.7,17.4073,0.8168,0,train
global,2024-03-03,20.61,100.5,17.4966,2.5097,1,train
global,2024-03-10,18.74,100.5,17.5809,0.9575,0,train
global,2024-03-17,19.68,100.5,17.6606,1.4001,0,train
global,2024-03-24,21.55,100.5,17.7362,2.4876,1,train
global,2024-03-31,20.61,100.5,17.8081,2.063,1,train
global,2024-04-07,19.68,100.6,17.8769,1.8831,1,train
global,2024-04-14,19.68,100.6,17.9428,2.0458,1,train
global,2024-04-21,19.68,100.6,18.0063,2.59,1,train
global,2024-04-28,19.68,100.6,18.0676,2.3133,1,train
