region,week_start,search_index,csi,trend,residual,is_anomaly_week,split
korea,2022-12-25,16.0,89.7,17.4227,-0.1111,0,train
korea,2023-01-01,15.0,90.4,17.3678,-0.0995,0,train
korea,2023-01-08,16.0,90.4,17.3134,-0.2835,0,train
korea,2023-01-15,16.0,90.4,17.2593,0.4208,0,train
korea,2023-01-22,20.0,90.4,17.2057,1.6534,0,train
korea,2023-01-29,19.0,90.4,17.1524,0.8565,0,train
korea,2023-02-05,17.0,89.8,17.0996,-0.6899,0,train
korea,2023-02-12,27.0,89.8,17.0472,1.4025,0,train
korea,2023-02-19,21.0,89.8,16.9953,1.4414,0,train
korea,2023-02-26,21.0,89.8,16.9438,1.0689,0,train
korea,2023-03-05,19.0,91.7,16.8928,0.6914,0,train
korea,2023-03-12,17.0,91.7,16.8422,-0.1416,0,train
korea,2023-03-19,17.0,91.7,16.792,0.1286,0,train
korea,2023-03-26,18.0,91.7,16.7423,0.1503,0,train
korea,2023-04-02,19.0,94.9,16.6931,0.7137,0,train
korea,2023-04-09,19.0,94.9,16.6442,0.303,0,train
korea,2023-04-16,17.0,94.9,16.5958,-0.4748,0,train
korea,2023-04-23,18.0,94.9,16.5477,-0.5805,0,train
korea,2023-04-30,18.0,94.9,16.5001,-0.1204,0,train
korea,2023-05-07,17.0,97.9,16.4528,0.9231,0,train
korea,2023-05-14,17.0,97.9,16.4058,0.4745,0,train
korea,2023-05-21,14.0,97.9,16.3592,-0.7041,0,train
korea,2023-05-28,15.0,97.9,16.3128,-0.4703,0,train
korea,2023-06-04,16.0,100.7,16.2668,-0.5189,0,train
korea,2023-06-11,13.0,100.7,16.221,-0.138,0,train
korea,2023-06-18,13.0,100.7,16.1754,-0.2462,0,train
korea,2023-06-25,14.0,100.7,16.1299,-0.529,0,train
korea,2023-07-02,13.0,103.4,16.0847,-1.0335,0,train
korea,2023-07-09,12.0,103.4,16.0395,-0.528,0,train
korea,2023-07-16,12.0,103.4,15.9945,-0.5719,0,train
korea,2023-07-23,12.0,103.4,15.9494,-1.1226,0,train
korea,2023-07-30,12.0,103.4,15.9043,-1.3428,0,train
korea,2023-08-06,11.0,103.2,15.8592,-1.0279,0,train
korea,2023-08-13,14.0,103.2,15.8139,-1.0087,0,train
korea,2023-08-20,13.0,103.2,15.7685,-1.5194,0,train
korea,2023-08-27,13.0,103.2,15.7229,-1.5843,0,train
korea,2023-09-03,14.0,99.7,15.6769,-1.2495,0,train
korea,2023-09-10,15.0,99.7,15.6307,-0.6618,0,train
korea,2023-09-17,15.0,99.7,15.5843,-1.6463,0,train
korea,2023-09-24,16.0,99.7,15.5377,-0.3963,0,train
korea,2023-10-01,18.0,98.0,15.4912,-0.6348,0,train
korea,2023-10-08,18.0,98.0,15.4454,-0.1905,0,train
korea,2023-10-15,16.0,98.0,15.4009,-0.4783,0,train
korea,2023-10-22,16.0,98.0,15.3589,-0.3179,0,train
korea,2023-10-29,17.0,98.0,15.3418,0.9104,0,train
korea,2023-11-05,17.0,97.1,15.3294,0.6509,0,train
korea,2023-11-12,18.0,97.1,15.3223,-0.6147,0,train
korea,2023-11-19,17.0,97.1,15.3205,0.7974,0,train
korea,2023-11-26,16.0,97.1,15.3242,0.4798,0,train
korea,2023-12-03,15.0,99.5,15.3335,1.344,0,train
korea,2023-12-10,14.0,99.5,15.3483,1.0141,0,train
korea,2023-12-17,14.0,99.5,15.3685,1.4415,0,train
korea,2023-12-24,15.0,99.5,15.394,0.7649,0,train
korea,2023-12-31,14.0,99.5,15.4243,0.6625,0,train
korea,2024-01-07,14.27,101.5,15.4593,0.5421,0,train
korea,2024-01-14,13.69,101.5,15.4984,-1.0895,0,train
korea,2024-01-21,13.07,101.5,15.5412,-1.9373,0,train
korea,2024-01-28,13.69,101.5,15.5872,-1.4427,0,train
korea,2024-02-04,16.06,101.7,15.6358,-0.0268,0,train
korea,2024-02-11,17.86,101.7,15.6864,-1.6167,0,train
korea,2024-02-18,16.66,101.7,15.7386,-1.696,0,train
korea,2024-02-25,16.66,101.7,15.7916,-1.0457,0,train
korea,2024-03-03,15.47,100.5,15.8449,-1.0604,1,train
korea,2024-03-10,16.09,100.5,15.8978,-0.7602,0,train
korea,2024-03-17,16.09,100.5,15.9499,-1.0052,0,train
korea,2024-03-24,16.66,100.5,16.0006,-2.5884,1,train
korea,2024-03-31,16.06,100.5,16.0498,-1.8488,1,train
korea,2024-04-07,17.83,100.6,16.0971,-2.0232,1,train
korea,2024-04-14,18.43,100.6,16.1425,0.2629,1,train
korea,2024-04-21,16.05,100.6,16.186,-2.2652,1,train
korea,2024-04-28,18.45,100.6,16.2275,-0.2152,1,train
korea,2024-05-05,16.66,98.2,16.2672,-2.3187,0,train
korea,2024-05-12,16.66,98.2,16.3052,-1.411,0,train
korea,2024-05-19,16.06,98.2,16.3417,0.9697,0,train
korea,2024-05-26,16.65,98.2,16.3769,0.5003,0,train
korea,2024-06-02,18.45,100.7,16.4113,0.6007,0,train
korea,2024-06-09,19.66,100.7,16.4454,-0.1657,0,train
korea,2024-06-16,15.47,100.7,16.4799,0.0549,0,train
korea,2024-06-23,15.47,100.7,16.5153,0.628,0,train
korea,2024-06-30,16.66,100.7,16.5522,1.6482,0,train
korea,2024-07-07,14.89,103.6,16.5912,0.6303,0,train
korea,2024-07-14,14.87,103.6,16.633,0.721,0,train
korea,2024-07-21,14.89,103.6,16.6778,1.8345,0,train
korea,2024-07-28,15.47,103.6,16.7261,2.281,1,train
korea,2024-08-04,14.89,100.6,16.7779,1.6477,1,train
korea,2024-08-11,14.89,100.6,16.8334,1.6111,0,train
korea,2024-08-18,16.07,100.6,16.8925,2.6437,1,train
korea,2024-08-25,16.06,100.6,16.9549,2.7767,1,train
korea,2024-09-01,16.07,99.8,17.0204,2.103,0,train
korea,2024-09-08,16.09,99.8,17.0887,0.919,0,train
korea,2024-09-15,19.06,99.8,17.1593,2.9078,1,train
korea,2024-09-22,17.86,99.8,17.2318,0.3873,1,train
korea,2024-09-29,18.47,99.8,17.3055,0.8705,0,train
korea,2024-10-06,17.86,101.6,17.3799,-0.0242,0,train
korea,2024-10-13,17.27,101.6,17.4544,0.5585,0,train
korea,2024-10-20,17.26,101.6,17.5283,0.2368,0,train
korea,2024-10-27,16.06,101.6,17.6014,-2.2403,0,train
korea,2024-11-03,18.47,100.6,17.6729,-1.715,0,train
korea,2024-11-10,20.86,100.6,17.7427,0.8406,0,train
korea,2024-11-17,18.47,100.6,17.8103,-2.0076,1,train
korea,2024-11-24,19.07,100.6,17.8757,-1.365,1,train
korea,2024-12-01,13.99,87.9,17.9387,-3.1073,1,train
korea,2024-12-08,14.02,87.9,17.9991,-2.4399,0,train
korea,2024-12-15,13.47,87.9,18.0571,-3.3008,1,train
korea,2024-12-22,15.06,87.9,18.1127,-2.2407,0,train
korea,2024-12-29,13.47,87.9,18.1661,-2.0567,0,train
korea,2025-01-05,14.54,91.0,18.2176,-1.2067,0,train
